T,Pressure Head in Meters
28967,0.135
28968,-0.168
28969,-0.225
28970,-0.228
28971,-0.222
28972,-0.219
28973,-0.216
28974,-0.216
28975,-0.216
28976,-0.216
28977,-0.213
28978,-0.213
28979,-0.21
28980,-0.21
28981,-0.21
28982,-0.207
28983,-0.207
28984,-0.207
28985,-0.204
28986,-0.204
28987,-0.204
28988,-0.201
28989,-0.201
28990,-0.201
28991,-0.198
28992,-0.198
28993,-0.198
28994,-0.195
28995,-0.195
28996,-0.195
28997,-0.192
28998,-0.192
28999,-0.192
29000,-0.189
29001,-0.189
29002,-0.189
29003,-0.189
29004,-0.186
29005,-0.186
29006,-0.186
29007,-0.183
29008,-0.183
29009,-0.183
29010,-0.18
29011,-0.18
29012,-0.18
29013,-0.18
29014,-0.177
29015,-0.177
29016,-0.177
29017,-0.177
29018,-0.174
29019,-0.174
29020,-0.174
29021,-0.171
29022,-0.171
29023,-0.171
29024,-0.171
29025,-0.168
29026,-0.168
29027,-0.168
29028,-0.168
29029,-0.165
29030,-0.165
29031,-0.165
29032,-0.165
29033,-0.162
29034,-0.162
29035,-0.162
29036,-0.162
29037,-0.159
29038,-0.159
29039,-0.159
29040,-0.159
29041,-0.156
29042,-0.156
29043,-0.156
29044,-0.156
29045,-0.156
29046,-0.153
29047,-0.153
29048,-0.153
29049,-0.153
29050,-0.15
29051,-0.15
29052,-0.15
29053,-0.15
29054,-0.147
29055,-0.147
29056,-0.147
29057,-0.147
29058,-0.147
29059,-0.144
29060,-0.144
29061,-0.144
29062,-0.144
29063,-0.141
29064,-0.141
29065,-0.141
29066,-0.141
29067,-0.141
29068,-0.138
29069,-0.138
29070,-0.138
29071,-0.138
29072,-0.135
29073,-0.135
29074,-0.135
29075,-0.135
29076,-0.135
29077,-0.132
29078,-0.132
29079,-0.132
29080,-0.132
29081,-0.132
29082,-0.129
29083,-0.129
29084,-0.129
29085,-0.129
29086,-0.129
29087,-0.129
29088,-0.129
29089,-0.126
29090,-0.126
29091,-0.126
29092,-0.126
29093,-0.126
29094,-0.123
29095,-0.123
29096,-0.123
29097,-0.123
29098,-0.12
29099,-0.12
29100,-0.12
29101,-0.12
29102,-0.12
29103,-0.12
29104,-0.117
29105,-0.117
29106,-0.117
29107,-0.117
29108,-0.117
29109,-0.117
29110,-0.114
29111,-0.114
29112,-0.114
29113,-0.114
29114,-0.114
29115,-0.114
29116,-0.111
29117,-0.111
29118,-0.111
29119,-0.111
29120,-0.111
29121,-0.108
29122,-0.108
29123,-0.108
29124,-0.108
29125,-0.108
29126,-0.108
29127,-0.105
29128,-0.105
29129,-0.105
29130,-0.105
29131,-0.105
29132,-0.105
29133,-0.102
29134,-0.102
29135,-0.102
29136,-0.102
29137,-0.102
29138,-0.102
29139,-0.099
29140,-0.099
29141,-0.099
29142,-0.099
29143,-0.099
29144,-0.099
29145,-0.096
29146,-0.096
29147,-0.096
29148,-0.096
29149,-0.096
29150,-0.096
29151,-0.096
29152,-0.093
29153,-0.093
29154,-0.093
29155,-0.093
29156,-0.093
29157,-0.09
29158,-0.09
29159,-0.09
29160,-0.09
29161,-0.09
29162,-0.09
29163,-0.09
29164,-0.09
29165,-0.087
29166,-0.087
29167,-0.087
29168,-0.087
29169,-0.087
29170,-0.087
29171,-0.084
29172,-0.084
29173,-0.084
29174,-0.084
29175,-0.084
29176,-0.084
29177,-0.084
29178,-0.081
29179,-0.081
29180,-0.081
29181,-0.081
29182,-0.081
29183,-0.081
29184,-0.081
29185,-0.078
29186,-0.078
29187,-0.078
29188,-0.078
29189,-0.078
29190,-0.078
29191,-0.075
29192,-0.075
29193,-0.075
29194,-0.075
29195,-0.075
29196,-0.075
29197,-0.075
29198,-0.075
29199,-0.072
29200,-0.072
29201,-0.072
29202,-0.072
29203,-0.072
29204,-0.072
29205,-0.072
29206,-0.072
29207,-0.069
29208,-0.069
29209,-0.069
29210,-0.069
29211,-0.069
29212,-0.069
29213,-0.069
29214,-0.066
29215,-0.069
29216,-0.066
29217,-0.066
29218,-0.066
29219,-0.066
29220,-0.066
29221,-0.066
29222,-0.066
29223,-0.066
29224,-0.063
29225,-0.063
29226,-0.063
29227,-0.063
29228,-0.063
29229,-0.063
29230,-0.063
29231,-0.06
29232,-0.06
29233,-0.06
29234,-0.06
29235,-0.06
29236,-0.06
29237,-0.06
29238,-0.06
29239,-0.06
29240,-0.057
29241,-0.057
29242,-0.057
29243,-0.057
29244,-0.057
29245,-0.057
29246,-0.057
29247,-0.057
29248,-0.057
29249,-0.054
29250,-0.054
29251,-0.054
29252,-0.054
29253,-0.054
29254,-0.054
29255,-0.054
29256,-0.054
29257,-0.051
29258,-0.054
29259,-0.051
29260,-0.051
29261,-0.051
29262,-0.051
29263,-0.051
29264,-0.051
29265,-0.051
29266,-0.051
29267,-0.048
29268,-0.048
29269,-0.048
29270,-0.048
29271,-0.048
29272,-0.048
29273,-0.048
29274,-0.048
29275,-0.048
29276,-0.048
29277,-0.048
29278,-0.045
29279,-0.045
29280,-0.045
29281,-0.045
29282,-0.045
29283,-0.045
29284,-0.045
29285,-0.045
29286,-0.045
